admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,neutral,optimism,pride,realization,relief,remorse,sadness,surprise,isbn13
0.8905187249183655,0.020829016342759132,0.025204328820109367,0.026338467374444008,0.149612158536911,0.11520551890134811,0.005844053812325001,0.08301174640655518,0.011024005711078644,0.10653550177812576,0.0060029411688447,0.004366254433989525,0.003630217630416155,0.6809415221214294,0.019735921174287796,0.01577582210302353,0.01543246116489172,0.9135670065879822,0.0034766921307891607,0.008674132637679577,0.9881018400192261,0.015898803249001503,0.054634954780340195,0.03384463116526604,0.04834119603037834,0.008523317985236645,0.6211659908294678,0.11731090396642685,9780002005883
0.9804762601852417,0.18023787438869476,0.005729698110371828,0.01198110356926918,0.48477911949157715,0.002606708789244294,0.4023124873638153,0.48346489667892456,0.005440144333988428,0.018031593412160873,0.003463209606707096,0.0012118943268433213,0.0017284202622249722,0.01530767697840929,0.0031655775383114815,0.008887650445103645,0.0008811487932689488,0.01755734719336033,0.002173246815800667,0.003839103039354086,0.9889149069786072,0.01728133112192154,0.004025921691209078,0.07924503087997437,0.001079121488146484,0.0010314028477296233,0.005160235334187746,0.014360715635120869,9780002261982
0.989074170589447,0.005994749721139669,0.04011368378996849,0.03559105470776558,0.038392458111047745,0.0089619942009449,0.021610377356410027,0.0185298640280962,0.013082556426525116,0.012942219153046608,0.008637565188109875,0.006063154898583889,0.003930800594389439,0.02530600130558014,0.9347721338272095,0.007416780572384596,0.0038153878413140774,0.007901935838162899,0.26191776990890503,0.10204795747995377,0.9881018400192261,0.01795472949743271,0.005543320439755917,0.03539905324578285,0.004276052117347717,0.0031301320996135473,0.016237972304224968,0.008307681418955326,9780006178736
0.04773283377289772,0.002199001843109727,0.00446272874251008,0.006065347231924534,0.09656088054180145,0.009603019803762436,0.0029112559277564287,0.0010658141691237688,0.0035408898256719112,0.0062753865495324135,0.011890597641468048,0.003104808274656534,0.003423027228564024,0.006141758058220148,0.0067784967832267284,0.0014582276344299316,0.0012152820127084851,0.009047471918165684,0.9647554159164429,0.003378694411367178,0.9881018400192261,0.006354197859764099,0.0016266374150291085,0.03180137649178505,0.0022364864125847816,0.0012036877451464534,0.0035594734363257885,0.004030492622405291,9780006280897
0.883320689201355,0.0019114946480840445,0.0025546872057020664,0.007576294243335724,0.36061060428619385,0.21014592051506042,0.043386414647102356,0.48309364914894104,0.018131056800484657,0.005593332462012768,0.004553011618554592,0.0024378423113375902,0.0013173549668863416,0.004862816073000431,0.005964774172753096,0.009220363572239876,0.001991159748286009,0.0038276533596217632,0.004292671103030443,0.0026757519226521254,0.9911152124404907,0.2078949511051178,0.0038709223736077547,0.02590516209602356,0.003999575041234493,0.0042821369133889675,0.007245635613799095,0.003380282549187541,9780006280934
0.01719852164387703,0.0029053587932139635,0.014398384839296341,0.087855763733387,0.03277318552136421,0.002562732668593526,0.003413732396438718,0.0012379686813801527,0.0010047259274870157,0.4763803482055664,0.043030064553022385,0.022610927000641823,0.02379400096833706,0.0026746883522719145,0.00268761464394629,0.0022081146016716957,0.007163195870816708,0.003916712943464518,0.0008311273413710296,0.003062238683924079,0.9881018400192261,0.0029189966153353453,0.0021791011095046997,0.7527893781661987,0.0019862111657857895,0.013308706693351269,0.33609047532081604,0.011738520115613937,9780006380832
0.9777058959007263,0.002570646582171321,0.004458241164684296,0.016045203432440758,0.09843543916940689,0.0056225149892270565,0.15707457065582275,0.050639327615499496,0.2774568498134613,0.03687543049454689,0.6107532978057861,0.004687109496444464,0.002060122322291136,0.004058776888996363,0.11571905016899109,0.019849978387355804,0.0031398599967360497,0.0036415099166333675,0.002164937788620591,0.01902778260409832,0.9881018400192261,0.7781580090522766,0.007035673595964909,0.08795050531625748,0.0024169408716261387,0.0036063671577721834,0.03408130258321762,0.006302942521870136,9780006470229
0.9405513405799866,0.003498529549688101,0.005219791550189257,0.014465583488345146,0.029934419319033623,0.0036670274566859007,0.028796225786209106,0.001552798319607973,0.002188564045354724,0.01214828621596098,0.010271637700498104,0.002849676413461566,0.0017027112189680338,0.033323023468256,0.014942712150514126,0.0018658698536455631,0.0012201257050037384,0.1344076246023178,0.002696065930649638,0.0020074662752449512,0.9881018400192261,0.003999721258878708,0.004685910418629646,0.014194520190358162,0.002766503719612956,0.002323341555893421,0.005481965374201536,0.0036583850160241127,9780006472612
0.0757509246468544,0.0020600538700819016,0.0025468342937529087,0.009469625540077686,0.018129626289010048,0.0010809792438521981,0.02132185734808445,0.44511666893959045,0.0008019988308660686,0.0138281574472785,0.007975421845912933,0.002779910806566477,0.0019374275580048561,0.0030466094613075256,0.0021859018597751856,0.0009319347445853055,0.0015952673275023699,0.001769660273566842,0.0028360101860016584,0.0015399884432554245,0.9881018400192261,0.0024417834356427193,0.0017153769731521606,0.02748809941112995,0.0011706064688041806,0.001597999013029039,0.012507189996540546,0.16690753400325775,9780006482079
0.006495540030300617,0.0016286240424960852,0.0013787499628961086,0.004410312045365572,0.028462931513786316,0.0007311374647542834,0.001387484953738749,0.0009950578678399324,0.0005527510074898601,0.0014348841505125165,0.0010990048758685589,0.0008747797692194581,0.0005227514775469899,0.0018587240483611822,0.00035382408532314,0.000584432331379503,0.0003855192626360804,0.0018614135915413499,0.0005121665890328586,0.00031837113783694804,0.9881018400192261,0.0013228340540081263,0.001089878031052649,0.008648731745779514,0.0005905995494686067,0.0004030200943816453,0.0009667777339927852,0.0012016820255666971,9780006483014
